target,horizon,model,train_end_year,test_year,rmse,mae,r2,accuracy_pct,n_test,ci_width
unemployment_rate,5,linear_regression,1992,1993,5.504200059985524,3.2426038023665167,-0.4831202707307227,16.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1993,1994,7.834673199423482,4.5206662995612765,-1.9850916532639395,16.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1994,1995,11.197584616095485,5.057860380832059,-5.640768466704251,12.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1995,1996,4.257033235093758,2.935381835939391,-0.038771553631169464,36.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1996,1997,2.646096711013183,1.962481210138114,0.5968417635716163,28.000000000000004,25,22.474664453159843
unemployment_rate,5,linear_regression,1997,1998,2.74906223669418,1.9431180114941957,0.5698622427307272,32.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1998,1999,2.3479091168396176,1.7984307509219357,0.6816641852600303,16.0,25,22.474664453159843
unemployment_rate,5,linear_regression,1999,2000,3.175571329478971,2.206908519453571,0.4290756810838551,24.0,25,22.474664453159843
unemployment_rate,5,ridge,1992,1993,4.410340031840289,3.089428406884188,0.047791403525589415,24.0,25,13.068730949712169
unemployment_rate,5,ridge,1993,1994,4.425382713375325,3.087460573458406,0.04760398729986004,24.0,25,13.068730949712169
unemployment_rate,5,ridge,1994,1995,4.231979881905741,3.0066479932233925,0.05145744052594514,12.0,25,13.068730949712169
unemployment_rate,5,ridge,1995,1996,4.1448675671253286,2.8613445018711428,0.015247063644258985,24.0,25,13.068730949712169
unemployment_rate,5,ridge,1996,1997,2.254742185264978,1.4122412269824818,0.7072762962255958,52.0,25,13.068730949712169
unemployment_rate,5,ridge,1997,1998,1.9456486333864227,1.3609362455662142,0.7845397055856114,44.0,25,13.068730949712169
unemployment_rate,5,ridge,1998,1999,1.366940798575915,1.0156142016925644,0.8920997751537735,48.0,25,13.068730949712169
unemployment_rate,5,ridge,1999,2000,2.028573719000328,1.5461524714505015,0.7670212089367365,24.0,25,13.068730949712169
unemployment_rate,5,lasso,1992,1993,1.4466291334670707,1.1455151496136013,0.8975522644659065,36.0,25,6.774538817825778
unemployment_rate,5,lasso,1993,1994,1.396962926136362,0.9530256179020347,0.9050957504139902,44.0,25,6.774538817825778
unemployment_rate,5,lasso,1994,1995,1.7369921855424353,1.1426283548907468,0.8402041993775331,52.0,25,6.774538817825778
unemployment_rate,5,lasso,1995,1996,1.3064806337522772,0.9806673689266764,0.9021610192974067,52.0,25,6.774538817825778
unemployment_rate,5,lasso,1996,1997,2.466611922129457,1.625157387509289,0.6496793295189519,24.0,25,6.774538817825778
unemployment_rate,5,lasso,1997,1998,1.7433467550934372,1.2846120123463118,0.8270159831074172,36.0,25,6.774538817825778
unemployment_rate,5,lasso,1998,1999,1.7531668140845775,1.1491248601425568,0.8225118264463339,40.0,25,6.774538817825778
unemployment_rate,5,lasso,1999,2000,1.714018212840385,1.4341390720291718,0.8336718861776946,24.0,25,6.774538817825778
unemployment_rate,5,elastic_net,1992,1993,1.3493011721028891,1.0519844515721366,0.9108737273008297,40.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1993,1994,1.6026549095980813,1.107728810808775,0.8750903662353904,36.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1994,1995,1.7390173078773914,1.1510226617744703,0.8398313771043201,52.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1995,1996,1.269327392699806,0.9818987301977026,0.9076465185984572,48.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1996,1997,2.529102501152729,1.6384478807468346,0.6317040246964325,24.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1997,1998,1.7325447688758966,1.2878318024332844,0.829153001478133,32.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1998,1999,1.8576869389466972,1.2065127622873664,0.8007180367050034,36.0,25,6.893112631716946
unemployment_rate,5,elastic_net,1999,2000,1.6993980283984764,1.408460513194941,0.8364972663949771,28.000000000000004,25,6.893112631716946
unemployment_rate,5,svr,1992,1993,4.4841351620809915,3.19093415442621,0.01565953501581918,24.0,25,16.39740243388508
unemployment_rate,5,svr,1993,1994,4.427661974991247,3.026387329329358,0.04662268519216217,24.0,25,16.39740243388508
